ZipCode	primary_city	state	Latitude	Longitude
00501	Holtsville	NY	40.81	-73.04
01029	East Otis	MA	42.17	-73.03
01068	Oakham	MA	42.35	-72.05
01070	Plainfield	MA	42.51	-72.91
01077	Southwick	MA	42.05	-72.76
01106	Longmeadow	MA	42.04	-72.57
01107	Springfield	MA	42.12	-72.61
01128	Springfield	MA	42.09	-72.49
01151	Indian Orchard	MA	42.15	-72.51
01222	Ashley Falls	MA	42.05	-73.33
01243	Middlefield	MA	42.35	-73.01
01258	South Egremont	MA	42.11	-73.46
01267	Williamstown	MA	42.7	-73.2
01343	Drury	MA	42.66	-72.98
01350	Monroe Bridge	MA	42.72	-72.98
01366	Petersham	MA	42.48	-72.18
01375	Sunderland	MA	42.46	-72.58
01436	Baldwinville	MA	42.6	-72.07
01452	Hubbardston	MA	42.48	-72.01
01460	Littleton	MA	42.53	-71.47
01477	Winchendon Springs	MA	42.69	-72.01
01504	Blackstone	MA	42.04	-71.53
01517	East Princeton	MA	42.46	-71.89
01521	Holland	MA	42.05	-72.15
01529	Millville	MA	42.03	-71.58
01604	Worcester	MA	42.25	-71.77
01606	Worcester	MA	42.32	-71.8
01607	Worcester	MA	42.23	-71.79
01612	Paxton	MA	42.31	-71.93
01730	Bedford	MA	42.48	-71.26
01740	Bolton	MA	42.43	-71.6
01741	Carlisle	MA	42.53	-71.35
01756	Mendon	MA	42.1	-71.55
01827	Dunstable	MA	42.66	-71.48
01833	Georgetown	MA	42.73	-70.98
01860	Merrimac	MA	42.83	-71
01890	Winchester	MA	42.45	-71.14
01908	Nahant	MA	42.43	-70.93
01913	Amesbury	MA	42.85	-70.92
01940	Lynnfield	MA	42.53	-71.04
01966	Rockport	MA	42.64	-70.61
02019	Bellingham	MA	42.09	-71.47
02020	Brant Rock	MA	42.08	-70.64
02031	East Mansfield	MA	42.02	-71.17
02045	Hull	MA	42.3	-70.9
02132	West Roxbury	MA	42.28	-71.16
02180	Stoneham	MA	42.47	-71.09
02190	South Weymouth	MA	42.17	-70.95
02191	North Weymouth	MA	42.24	-70.94
02238	Cambridge	MA	42.37	-71.11
02269	Quincy	MA	42.26	-71
02334	Easton	MA	42.03	-71.1
02345	Manomet	MA	41.92	-70.56
02347	Lakeville	MA	41.85	-70.95
02368	Randolph	MA	42.17	-71.05
02420	Lexington	MA	42.46	-71.22
02446	Brookline	MA	42.34	-71.12
02492	Needham	MA	42.28	-71.24
02493	Weston	MA	42.36	-71.3
02562	Sagamore Beach	MA	41.79	-70.53
02564	Siasconset	MA	41.27	-70
02576	West Wareham	MA	41.78	-70.75
02584	Nantucket	MA	41.26	-70.01
02635	Cotuit	MA	41.62	-70.44
02643	East Orleans	MA	41.8	-69.94
02644	Forestdale	MA	41.68	-70.5
02657	Provincetown	MA	42.06	-70.2
02713	Cuttyhunk	MA	41.44	-70.9
02738	Marion	MA	41.7	-70.76
02760	North Attleboro	MA	41.97	-71.33
02762	Plainville	MA	42	-71.33
02807	Block Island	RI	41.16	-71.58
02837	Little Compton	RI	41.5	-71.16
02891	Westerly	RI	41.37	-71.81
02895	Woonsocket	RI	41.99	-71.5
02915	Riverside	RI	41.77	-71.35
02917	Smithfield	RI	41.9	-71.53
02921	Cranston	RI	41.76	-71.48
03033	Brookline	NH	42.73	-71.66
03037	Deerfield	NH	43.14	-71.21
03042	Epping	NH	43.03	-71.07
03047	Greenfield	NH	42.95	-71.85
03106	Hooksett	NH	43.09	-71.45
03109	Manchester	NH	42.96	-71.4
03110	Bedford	NH	42.95	-71.5
03251	Lincoln	NH	44.04	-71.67
03280	Washington	NH	43.17	-72.09
03281	Weare	NH	43.1	-71.73
03290	Nottingham	NH	43.11	-71.1
03303	Concord	NH	43.31	-71.67
03304	Bow	NH	43.13	-71.54
03307	Loudon	NH	43.28	-71.46
03442	Bennington	NH	43	-71.93
03456	Marlow	NH	43.11	-72.2
03461	Rindge	NH	42.75	-72.01
03466	West Chesterfield	NH	42.87	-72.51
03579	Errol	NH	44.78	-71.13
03585	Lisbon	NH	44.21	-71.9
03592	Pittsburg	NH	45.05	-71.39
03601	Acworth	NH	43.24	-72.29
03605	Lempster	NH	43.23	-72.21
03608	Walpole	NH	43.08	-72.43
03609	North Walpole	NH	43.14	-72.44
03740	Bath	NH	44.16	-71.96
03752	Goshen	NH	43.3	-72.14
03771	Monroe	NH	44.28	-72.01
03781	Plainfield	NH	43.53	-72.35
03811	Atkinson	NH	42.83	-71.14
03837	Gilmanton Iron Works	NH	43.43	-71.34
03846	Jackson	NH	44.14	-71.18
03854	New Castle	NH	43.06	-70.72
03901	Berwick	ME	43.3	-70.84
03905	Kittery Point	ME	43.08	-70.69
03907	Ogunquit	ME	43.24	-70.59
04008	Bowdoinham	ME	44.01	-69.89
04037	Fryeburg	ME	44.01	-70.97
04054	Moody	ME	43.3	-70.59
04088	Waterford	ME	44.18	-70.71
04102	Portland	ME	43.66	-70.3
04107	Cape Elizabeth	ME	43.56	-70.2
04109	Portland	ME	43.64	-70.17
04110	Cumberland Foreside	ME	43.75	-70.2
04222	Durham	ME	43.92	-70.12
04259	Monmouth	ME	44.23	-70.01
04261	Newry	ME	44.5	-70.96
04285	Weld	ME	44.69	-70.42
04342	Dresden	ME	44.1	-69.72
04348	Jefferson	ME	44.2	-69.45
04349	Kents Hill	ME	44.43	-70.07
04360	Vienna	ME	44.53	-69.98
04420	Castine	ME	44.38	-68.8
04471	Orient	ME	45.81	-67.84
04478	Rockwood	ME	45.67	-69.74
04491	Vanceboro	ME	45.56	-67.43
04563	Cushing	ME	44.01	-69.24
04565	Sebasco Estates	ME	43.77	-69.84
04574	Washington	ME	44.27	-69.36
04631	Eastport	ME	44.91	-67.01
04642	Harborside	ME	44.33	-68.81
04645	Isle Au Haut	ME	44.04	-68.62
04668	Princeton	ME	45.22	-67.57
04733	Benedicta	ME	45.8	-68.41
04737	Clayton Lake	ME	46.61	-69.52
04741	Estcourt Station	ME	47.45	-69.22
04742	Fort Fairfield	ME	46.76	-67.83
04848	Islesboro	ME	44.3	-68.9
04852	Monhegan	ME	43.76	-69.32
04863	Vinalhaven	ME	44.04	-68.83
04945	Jackman	ME	45.62	-70.25
04964	Oquossoc	ME	44.96	-70.77
04972	Sandy Point	ME	44.52	-68.84
04973	Searsmont	ME	44.36	-69.19
05030	Ascutney	VT	43.41	-72.42
05050	Mc Indoe Falls	VT	44.26	-72.06
05056	Plymouth	VT	43.53	-72.73
05101	Bellows Falls	VT	43.13	-72.45
05153	Proctorsville	VT	43.42	-72.64
05155	South Londonderry	VT	43.09	-72.92
05159	Westminster Station	VT	43.04	-72.48
05251	Dorset	VT	43.25	-73.09
05253	East Dorset	VT	43.24	-72.99
05260	North Pownal	VT	42.81	-73.27
05261	Pownal	VT	42.76	-73.23
05340	Bondville	VT	43.16	-72.93
05346	Putney	VT	42.97	-72.52
05352	Stamford	VT	42.81	-73.08
05358	West Halifax	VT	42.76	-72.72
05463	Isle La Motte	VT	44.87	-73.33
05471	Montgomery Center	VT	44.86	-72.59
05472	New Haven	VT	44.12	-73.15
05476	Richford	VT	44.99	-72.67
05501	Andover	MA	42.65	-71.14
05647	Cabot	VT	44.4	-72.31
05652	Eden	VT	44.7	-72.55
05669	Roxbury	VT	44.1	-72.73
05674	Warren	VT	44.12	-72.85
05731	Benson	VT	43.72	-73.32
05746	Gaysville	VT	43.73	-72.74
05753	Middlebury	VT	44	-73.15
05776	West Rupert	VT	43.26	-73.19
05821	Barnet	VT	44.3	-72.05
05823	Beebe Plain	VT	45	-72.14
