zipcode	state	lat	lng
99723	AK	71.290600	-156.7886
99752	AK	66.898300	-162.5967
99701	AK	64.837800	-147.7164
99762	AK	64.501100	-165.4064
99654	AK	61.581400	-149.4394
99501	AK	61.218100	-149.9003
99686	AK	61.130800	-146.3483
99559	AK	60.792200	-161.7558
99611	AK	60.554400	-151.2583
99801	AK	58.301900	-134.4197
99835	AK	57.053100	-135.3300
99615	AK	57.790000	-152.4072
99901	AK	55.342200	-131.6461
99692	AK	53.884400	-166.5332
98365	WA	47.88	-122.66
98830	WA	47.88	-119.66
83858	WA	47.88	-117
59911	MT	47.88	-114
59420	MT	47.88	-111
59538	MT	47.88	-108
59259	MT	47.88	-105
58771	ND	47.88	-102
58374	ND	47.88	-99
56748	MN	47.88	-96.00
55746	MN	47.30	-93.0
97844	WA	45.88	-119.66
97846	WA	45.88	-117
59871	MT	45.88	-114
59715	MT	45.88	-111
59064	MT	45.88	-108
59301	MT	45.88	-105
57638	ND	45.88	-102
57457	ND	45.88	-99
56311	MN	45.88	-96.00
55447	MN	45.00	-93.50
97758	OR	43.88	-119.66
97913	OR	43.88	-117
83251	ID	43.88	-114
83414	ID	43.88	-111
82401	WY	43.88	-108
82730	WY	43.88	-105
57790	ND	43.88	-102
57355	SD	43.88	-99.00
56128	WY	43.88	-96
89412	OR	41.88	-119.66
89426	NV	41.88	-117
84313	ID	41.88	-114
83114	ID	41.88	-111
82336	WY	41.88	-108
82201	WY	41.88	-105
69333	NE	41.88	-102
68823	NE	41.88	-99
51523	NE	41.88	-96
52761	IA	41.50	-90.88
50247	IA	42.011539	-93.210526
89510	NV	39.88	-119.66
89310	NV	39.88	-117
84034	NV	39.88	-114
84526	UT	39.88	-111
81641	CO	39.88	-108.00
80260	CO	39.88	-105.00
67756	CO	39.88	-102.00
64628	MO	39.88	-93.00
66951	KS	39.88	-99.00
66538	KS	39.88	-96.00
67846	KS	37.88	-101.00
67557	KS	37.88	-99.00
66870	KS	37.88	-96.00
81252	CO	38.00	-105.311104
81403	CO	38.50	-108.00
81064	CO	37.50	-103.00
46236	IN	39.849426	-86.00
93512	CA	38.00	-118.66
89001	NV	38.00	-115.66
84766	UT	38.50	-112.50
84532	UT	38.50	-110.00
92328	CA	36.50	-117.50
92309	CA	35.00	-115.88
96031	CA	41	-122.88
43201	OH	40.00	-83.00
97223	NV	45.44	-122.76
04732	ME	46.50	-68.88
04418	ME	45.00	-68.50
04261	ME	44.50	-71.00
01719	MA	42.50	-71.50
12855	VT	44.045876	-73.88
06716	CT	41.597782	-73.00
13425	NY	43.00	-75.50
14482	NY	43.00	-78.00
08512	NJ	40.298904	-74.521011
20732	MD	38.66	-76.50
17094	PA	40.590752	-77.209755
16116	PA	41.00	-80.50
22844	VA	38.66	-78.66
27320	NC	36.30066	-79.806419
27922	NC	36.33	-76.88
28435	NC	34.44	-78.169968
28754	NC	35.88	-82.50
28277	NC	35.05	-80.82
48187	MI	42.33	-83.50
49022	MI	42.33	-86.50
48656	MI	44.33	-84.50
49931	MI	47.1133	-88.5871
54563	WI	45.50	-91.00
54566	WI	45.50	-88.50
54665	WI	43.50	-91.00
53118	WI	43.00	-88.50
61745	IL	40.349457	-89.00
62220	IL	38.50	-90.00
65668	MO	38.00	-93.288368
65438	MO	36.88	-91.50
40391	KY	37.88	-84.00
42355	KY	37.88	-87.00
37190	TN	35.747845	-86.00
38257	TN	36.50	-89.00
35654	TN	34.55	-87.66
97484	OR	43.1	-122.88
95423	CA	39.1	-122.52
25043	WV	38.491226	-80.954453
95322	CA	37.2	-121
89102	NV	36.14	-115.18
93204	CA	35.8	-120.00
72032	AR	34.969704	-92.373123
87013	NM	36.50	-107.50
87825	NM	34.50	-107.50
87752	NM	35.88	-104.66
88201	NM	33.88	-104.66
88061	NM	32.50	-108.50
93536	CA	34.8	-118.2
29142	SC	33.556892	-80.50
85337	AZ	33.00	-113.00
86305	AZ	35.00	-113.00
84784	AZ	37.00	-113.00
85602	AZ	32.50	-110.50
85928	AZ	34.50	-110.50
86044	AZ	36.50	-110.50
92004	CA	33.23	-116.12
36765	AL	32.66	-87.50
36477	AL	31.00	-86.00
38658	MS	34.20	-90.00
39044	MS	32.00	-90.00
74965	OK	36.00	-94.66
74851	OK	35.50	-97.00
74728	OK	34.00	-94.66
79058	TX	35.66	-102.02
73832	TX	36.00	-99.50
76360	TX	34.00	-99.00
79541	TX	32.10	-100.02
79415	TX	33.75	-101.88
75056	TX	33.10	-96.88
79761	TX	31.85	-102.36
76549	TX	31.000	-97.88
77437	TX	29.30	-96.50
77665	TX	29.88	-94.50
75946	TX	31.88	-94.50
78829	TX	28.88	-99.50
76943	TX	30.50	-101.00
79830	TX	30.00	-103.50
79837	TX	32.00	-105.50
78355	TX	27.16	-98.25
31563	GA	31.75	-82.25
30627	GA	34.00	-83.00
30241	GA	33.00	-85.00
33841	FL	27.766279	-81.686783
33040	FL	24.55	-81.78
33440	FL	26.25	-81.00
32605	FL	29.66	-82.40
39828	FL	30.88	-84.10
36605	AL	30.66	-88.06
70003	LA	30.00	-90.20
70586	LA	30.66	-92.20
71220	LA	33.00	-92.00
96722	HI	22.22	-159.48
96789	HI	21.47	-158.00
96753	HI	20.76	-156.45
96785	HI	19.49	-155.54
